fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Garré,Estación,Garré,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.5606113449999981),-62.60124219
Estación Victorino de la Plaza,Estación,Victorino de la Plaza,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.62193914200000222),-62.67043437
Estación Avestruz,Estación,Avestruz,4,IGN/Ministerio de Transporte de la Nación,IGN,-37.65906858700000015),-63.35371707
Estación Cañada Mariano,Estación,Cañada Mariano,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.6744305180000012),-63.19546907
Estación Canónigo Gorriti,Estación,Canónigo Gorriti,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.54747592099990072),-63.2451424
Estación Esteban A. Gascón,Estación,Esteban A. Gascón,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.45508363199999735),-63.25364506
Estación Yutuyaco,Estación,Yutuyaco,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.98533103799999822),-63.1296529
Estación Quenumá,Estación,Quenumá,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.57183314000000252),-63.08554925
Estación Graciarena,Estación,Graciarena,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.64308577199989969),-63.17481213
Estación Maza,Estación,Maza,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.79911968399989775),-63.33544251
Estación Thames,Estación,Thames,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.92525503600000292),-63.29624288
Estación Ingeniero Thompson,Estación,Ingeniero Thompson,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.61433435099999656),-62.90870351
Estación Saturno,Estación,Saturno,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.9128918439999012),-62.68194305
Estación Arano,Estación,Arano,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.04747255199990263),-63.26789512
Estación Tres Lagunas,Estación,Tres Lagunas,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.1400396310000005),-63.01081426
Estación Rivera,Estación,Rivera,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.15984450599999889),-63.24844438
Estación Bordenave,Estación,Bordenave,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.803915926999899),-63.03710494
Estación Darregueira,Estación,Darregueira,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.68671141899989863),-63.15897523
Estación Arturo Vatteone,Estación,Arturo Vatteone,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.17776528000000269),-62.85948919
Estación Erize,Estación,Erize,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.39465387199989976),-62.80315394
Estación Goyena,Estación,Goyena,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.71825087299990287),-62.60522831
Estación Rolito,Estación,Rolito,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.00335720700000053),-62.71010043
Estación Espartillar,Estación,Espartillar,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.35834456399989989),-62.4373301
Estación Salliqueló,Estación,Salliqueló,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.74699942400000197),-62.95718104
Estación Delfín Huergo,Estación,Delfín Huergo,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.32021383499989753),-63.23587457
Estación Lago Epecuén,Estación,Lago Epecuén,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.11246409599989704),-62.79010364
Estación Carhué,Estación,Carhué,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.17993221900000123),-62.74938787
Estación Puán,Estación,Puán,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.54130718399989775),-62.75975188
Estación Alta Vista,Estación,Alta Vista,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.64848381199990257),-62.70006218
Estación Víboras,Estación,Víboras,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.69576338400000282),-62.80427651
Estación Azopardo,Estación,Azopardo,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.70154388799989675),-62.90170354
