fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Santiago Garbarini,Estación,Santiago Garbarini,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.4832991869999006),-60.38258061
Estación 25 de Mayo,Estación,25 de Mayo,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.42447646400000139),-60.16670579
Estación Pedernales,Estación,Pedernales,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.26610180400000161),-59.63112273
Estación Norberto de la Riestra,Estación,Norberto de la Riestra,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.27188288600000021),-59.77483652
Estación Estación Martín Berraondo,Estación,Martín Berraondo,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.31691679699999753),-59.9524234
Estación Islas,Estación,Islas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.56795822499999815),-60.35758347
Estación Ernestina,Estación,Ernestina,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.26875732199989955),-59.55707204
Estación Mamaguita,Estación,Mamaguita,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.68897777699989859),-60.2251914
Estación Las Pipinas,Estación,Las Pipinas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.53386387099990174),-57.32490539
Estación Monte Veloz,Estación,Monte Veloz,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.46497749199990324),-57.28283358
Estación Estomba,Estación,Estomba,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.34945114100000296),-61.80302569
Estación Tres Picos,Estación,Tres Picos,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.28918168799999933),-62.20969874
Estación Micaella Cascallares,Estación,Micaella Cascallares,6,IGN/Ministerio de Transporte de la Nación,IGN,-38.49222324399990214),-60.46895536
Estación Barrow,Estación,Barrow,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.3127089769999003),-60.23134506
Estación San Mayol,Estación,San Mayol,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.31638332699999694),-60.02592758
Estación Tres Arroyos,Estación,Tres Arroyos,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.38456173099999802),-60.2723362
Estación Copetonas,Estación,Copetonas,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.72073652299999935),-60.45216368
Estación Lin Calel,Estación,Lin Calel,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.70756728700000338),-60.24190122
Estación San Francisco de Belloq,Estación,San Francisco de Belloq,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.69446022599989732),-60.01253958
