DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR,MES_NUMERO,MES_NOMBRE,DIA_SEMANA,TIPO_DIA,ESTACION
2025-01-05,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,125,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,UNION PLATENSE SRL,BSAS_LINEA_520C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,2586,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_561B,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,285,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,EMPRESA NUEVE DE JULIO S.A.T.,LINEA OESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,16024,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,FUERTE BARRAGAN S.A.T.I.C.I.,LINEA_506F_BSAS,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,3242,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,2195,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-06,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,7915,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4890,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,20733,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,503,NO,1,Enero,Lunes,Día de semana,Verano
